number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
52,-0.3352755904197693,2026-01-26 01:44:18.883923,2026-01-26 01:44:19.492698,0 days 00:00:00.608775,8.631203903689672,0.7858356295126498,0.04038353036765503,2.263242405917677,0.20304184325444924,5,5,444,0.6604201487090964,COMPLETE
53,-0.32047319412231445,2026-01-26 01:44:19.493149,2026-01-26 01:44:20.627200,0 days 00:00:01.134051,8.00795755675617,0.9896658143173083,0.03746274579493493,3.0943088163861177,0.10169301935172219,10,6,341,0.7079427975237287,COMPLETE
54,-0.31414687633514404,2026-01-26 01:44:20.627592,2026-01-26 01:44:21.010684,0 days 00:00:00.383092,9.108059606273867,0.8898705283830924,0.06987537208493422,2.7798457741071965,0.13807529279749853,7,7,389,0.6777041290159844,COMPLETE
55,-0.3005334138870239,2026-01-26 01:44:21.011074,2026-01-26 01:44:21.437401,0 days 00:00:00.426327,9.62555728758407,0.8512730784148886,0.04589499329653154,2.570499158414065,0.18073517459540078,4,5,366,0.7248855358445928,COMPLETE
56,-0.3422729969024658,2026-01-26 01:44:21.437794,2026-01-26 01:44:21.702114,0 days 00:00:00.264320,8.823520908087051,0.7581502593094607,0.05802077820637284,3.198050913933192,0.25897946478266803,3,4,409,0.761672995185102,COMPLETE
57,-0.328815221786499,2026-01-26 01:44:21.702551,2026-01-26 01:44:21.906446,0 days 00:00:00.203895,9.944682276972996,0.6056470054581536,0.05699469287071056,1.3593609285153179,0.4728180874206764,3,4,478,0.7472907296265131,COMPLETE
58,-0.33410316705703735,2026-01-26 01:44:21.906826,2026-01-26 01:44:22.192406,0 days 00:00:00.285580,8.907444632786024,0.7646713979436729,0.058939877267004635,3.738921777228392,0.2598000412141329,3,3,409,0.7665342164477955,COMPLETE
59,-0.31266218423843384,2026-01-26 01:44:22.192797,2026-01-26 01:44:22.475886,0 days 00:00:00.283089,7.476221359041543,0.7326930674952481,0.08277075180367892,1.0067892440920825,0.7674217090342942,4,4,451,0.811003512855107,COMPLETE
60,-0.30072134733200073,2026-01-26 01:44:22.476281,2026-01-26 01:44:22.678487,0 days 00:00:00.202206,9.345168474715804,0.7129444762430648,0.09570623097949783,3.23263385694381,0.34804689912278824,3,2,431,0.7784623381689975,COMPLETE
61,-0.31733858585357666,2026-01-26 01:44:22.678858,2026-01-26 01:44:23.248189,0 days 00:00:00.569331,8.66090278826016,0.8048381774147557,0.050983047454871575,2.078370434777556,0.21487608737989297,5,6,381,0.8335905077809865,COMPLETE
62,-0.3312315344810486,2026-01-26 01:44:23.248575,2026-01-26 01:44:23.710419,0 days 00:00:00.461844,8.111982714863892,0.8319310056504039,0.02993763586006301,3.1589447173915843,0.14666556918766374,4,10,361,0.6930445389454689,COMPLETE
63,-0.3092559576034546,2026-01-26 01:44:23.710814,2026-01-26 01:44:23.905604,0 days 00:00:00.194790,9.675076086024147,0.7540305837292427,0.04270150134344396,2.943512178587354,0.11791771712519776,3,5,97,0.7315441585004563,COMPLETE
64,-0.32575470209121704,2026-01-26 01:44:23.906026,2026-01-26 01:44:24.563513,0 days 00:00:00.657487,7.500811221605641,0.9518215896335201,0.022983695029250243,2.3356360159675615,0.18054262620202258,4,4,310,0.671233028900844,COMPLETE
65,-0.3141244649887085,2026-01-26 01:44:24.563899,2026-01-26 01:44:25.007231,0 days 00:00:00.443332,8.623780596236884,0.79431247805383,0.06260780612755813,1.7761792217290786,0.24616485310275282,5,9,338,0.6542045921326353,COMPLETE
66,-0.3250617980957031,2026-01-26 01:44:25.007615,2026-01-26 01:44:25.774499,0 days 00:00:00.766884,9.205906371568068,0.9163013057896117,0.03821873336685172,2.727186543448961,0.16178095542689688,7,7,401,0.755075590290846,COMPLETE
67,-0.2917789816856384,2026-01-26 01:44:25.774910,2026-01-26 01:44:26.946910,0 days 00:00:01.172000,9.698095161153908,0.8708483830197634,0.01680425406128419,3.6209384142239474,0.12404171955659764,4,6,413,0.8939609894426914,COMPLETE
68,-0.3549218773841858,2026-01-26 01:44:26.947299,2026-01-26 01:44:27.262332,0 days 00:00:00.315033,8.452991385777215,0.9792327493052331,0.06752993058330596,2.5270270925602207,0.30403725254492026,3,8,256,0.6843451516013451,COMPLETE
